valid_time,source,ghi,fetched_at
2026-08-24 14:00:00,analysis,976.0,2026-09-14T15:08:27
2026-08-24 14:00:00,era5,846.0,2026-09-14T14:28:17
2026-08-24 15:00:00,analysis,914.0,2026-09-14T15:08:27
2026-08-24 15:00:00,era5,817.0,2026-09-14T14:28:17
2026-08-24 16:00:00,analysis,778.0,2026-09-14T15:08:27
2026-08-24 16:00:00,era5,701.0,2026-09-14T14:28:17
2026-08-24 17:00:00,analysis,584.0,2026-09-14T15:08:27
2026-08-24 17:00:00,era5,502.0,2026-09-14T14:28:17
2026-08-25 09:00:00,analysis,226.0,2026-09-14T15:08:27
2026-08-25 09:00:00,era5,207.0,2026-09-14T14:28:17
2026-08-25 10:00:00,analysis,448.0,2026-09-14T15:08:27
2026-08-25 10:00:00,era5,420.0,2026-09-14T14:28:17
2026-08-25 11:00:00,analysis,647.0,2026-09-14T15:08:27
2026-08-25 11:00:00,era5,621.0,2026-09-14T14:28:17
2026-08-25 12:00:00,analysis,808.0,2026-09-14T15:08:27
2026-08-25 12:00:00,era5,721.0,2026-09-14T14:28:17
2026-08-25 13:00:00,analysis,934.0,2026-09-14T15:08:27
2026-08-25 13:00:00,era5,826.0,2026-09-14T14:28:17
2026-08-25 14:00:00,analysis,932.0,2026-09-14T15:08:27
2026-08-25 14:00:00,era5,776.0,2026-09-14T14:28:17
2026-08-25 15:00:00,analysis,906.0,2026-09-14T15:08:27
2026-08-25 15:00:00,era5,769.0,2026-09-14T14:28:17
2026-08-25 16:00:00,analysis,730.0,2026-09-14T15:08:27
2026-08-25 16:00:00,era5,635.0,2026-09-14T14:28:17
2026-08-25 17:00:00,analysis,547.0,2026-09-14T15:08:27
2026-08-25 17:00:00,era5,504.0,2026-09-14T14:28:17
2026-08-26 09:00:00,analysis,285.0,2026-09-14T15:08:27
2026-08-26 09:00:00,era5,153.0,2026-09-14T14:28:17
2026-08-26 10:00:00,analysis,527.0,2026-09-14T15:08:27
2026-08-26 10:00:00,era5,435.0,2026-09-14T14:28:17
2026-08-26 11:00:00,analysis,729.0,2026-09-14T15:08:27
2026-08-26 11:00:00,era5,633.0,2026-09-14T14:28:17
2026-08-26 12:00:00,analysis,866.0,2026-09-14T15:08:27
2026-08-26 12:00:00,era5,638.0,2026-09-14T14:28:17
2026-08-26 13:00:00,analysis,949.0,2026-09-14T15:08:27
2026-08-26 13:00:00,era5,839.0,2026-09-14T14:28:17
2026-08-26 14:00:00,analysis,971.0,2026-09-14T15:08:27
2026-08-26 14:00:00,era5,815.0,2026-09-14T14:28:17
2026-08-26 15:00:00,analysis,906.0,2026-09-14T15:08:27
2026-08-26 15:00:00,era5,688.0,2026-09-14T14:28:17
2026-08-26 16:00:00,analysis,756.0,2026-09-14T15:08:27
2026-08-26 16:00:00,era5,450.0,2026-09-14T14:28:17
2026-08-26 17:00:00,analysis,443.0,2026-09-14T15:08:27
2026-08-26 17:00:00,era5,312.0,2026-09-14T14:28:17
2026-08-27 09:00:00,analysis,284.0,2026-09-14T15:08:27
2026-08-27 09:00:00,era5,157.0,2026-09-14T14:28:17
2026-08-27 10:00:00,analysis,527.0,2026-09-14T15:08:27
2026-08-27 10:00:00,era5,425.0,2026-09-14T14:28:17
2026-08-27 11:00:00,analysis,734.0,2026-09-14T15:08:27
2026-08-27 11:00:00,era5,660.0,2026-09-14T14:28:17
2026-08-27 12:00:00,analysis,885.0,2026-09-14T15:08:27
2026-08-27 12:00:00,era5,813.0,2026-09-14T14:28:17
2026-08-27 13:00:00,analysis,969.0,2026-09-14T15:08:27
2026-08-27 13:00:00,era5,894.0,2026-09-14T14:28:17
2026-08-27 14:00:00,analysis,976.0,2026-09-14T15:08:27
2026-08-27 14:00:00,era5,892.0,2026-09-14T14:28:17
2026-08-27 15:00:00,analysis,909.0,2026-09-14T15:08:27
2026-08-27 15:00:00,era5,822.0,2026-09-14T14:28:17
2026-08-27 16:00:00,analysis,773.0,2026-09-14T15:08:27
2026-08-27 16:00:00,era5,690.0,2026-09-14T14:28:17
2026-08-27 17:00:00,analysis,575.0,2026-09-14T15:08:27
2026-08-27 17:00:00,era5,510.0,2026-09-14T14:28:17
2026-08-28 09:00:00,analysis,293.0,2026-09-14T15:08:27
2026-08-28 09:00:00,era5,213.0,2026-09-14T14:28:17
2026-08-28 10:00:00,analysis,530.0,2026-09-14T15:08:27
2026-08-28 10:00:00,era5,384.0,2026-09-14T14:28:17
2026-08-28 11:00:00,analysis,736.0,2026-09-14T15:08:27
2026-08-28 11:00:00,era5,524.0,2026-09-14T14:28:17
2026-08-28 12:00:00,analysis,886.0,2026-09-14T15:08:27
2026-08-28 12:00:00,era5,687.0,2026-09-14T14:28:17
2026-08-28 13:00:00,analysis,958.0,2026-09-14T15:08:27
2026-08-28 13:00:00,era5,854.0,2026-09-14T14:28:17
2026-08-28 14:00:00,analysis,892.0,2026-09-14T15:08:27
2026-08-28 14:00:00,era5,806.0,2026-09-14T14:28:17
2026-08-28 15:00:00,analysis,827.0,2026-09-14T15:08:27
2026-08-28 15:00:00,era5,686.0,2026-09-14T14:28:17
2026-08-28 16:00:00,analysis,723.0,2026-09-14T15:08:27
2026-08-28 16:00:00,era5,638.0,2026-09-14T14:28:17
2026-08-28 17:00:00,analysis,570.0,2026-09-14T15:08:27
2026-08-28 17:00:00,era5,483.0,2026-09-14T14:28:17
2026-08-29 09:00:00,analysis,294.0,2026-09-14T15:08:27
2026-08-29 09:00:00,era5,212.0,2026-09-14T14:28:17
2026-08-29 10:00:00,analysis,532.0,2026-09-14T15:08:27
2026-08-29 10:00:00,era5,434.0,2026-09-14T14:28:17
2026-08-29 11:00:00,analysis,738.0,2026-09-14T15:08:27
2026-08-29 11:00:00,era5,657.0,2026-09-14T14:28:17
2026-08-29 12:00:00,analysis,847.0,2026-09-14T15:08:27
2026-08-29 12:00:00,era5,789.0,2026-09-14T14:28:17
2026-08-29 13:00:00,analysis,857.0,2026-09-14T15:08:27
2026-08-29 13:00:00,era5,856.0,2026-09-14T14:28:17
2026-08-29 14:00:00,analysis,874.0,2026-09-14T15:08:27
2026-08-29 14:00:00,era5,866.0,2026-09-14T14:28:17
2026-08-29 15:00:00,analysis,904.0,2026-09-14T15:08:27
2026-08-29 15:00:00,era5,793.0,2026-09-14T14:28:17
